municipio,anio,temp_max,temp_min,temp_app_max,temp_app_min,lluvia_acumulada,evapotranspiracion,latitud,longitud
Concepción Pápalo,2020,16.67,8.68,17.41,7.5,1206.3,464.44,17.5028915,-96.5252897
Concepción Pápalo,2021,16.36,8.62,17.26,7.51,1202.9,459.67,17.5028915,-96.5252897
Concepción Pápalo,2022,16.45,8.48,17.1,7.22,1046.1,476.51,17.5028915,-96.5252897
Concepción Pápalo,2023,17.3,9.25,18.39,8.23,870.1,498.16,17.5028915,-96.5252897
Concepción Pápalo,2024,18.56,9.69,19.45,8.68,751.1,522.63,17.5028915,-96.5252897
Concepción Pápalo,2025,17.65,9.04,18.18,8.01,1066.3,496.77,17.5028915,-96.5252897
Concepción Pápalo,2026,17.29,7.83,17.6,6.46,523.2,253.1,17.5028915,-96.5252897
Constancia del Rosario,2020,18.83,9.12,18.81,7.65,504.0,526.3,17.0216159,-97.5629249
Constancia del Rosario,2021,18.53,8.86,18.38,7.4,720.6,511.5,17.0216159,-97.5629249
Constancia del Rosario,2022,18.63,8.73,18.34,7.03,489.1,528.35,17.0216159,-97.5629249
Constancia del Rosario,2023,19.52,9.27,19.52,7.9,452.9,539.13,17.0216159,-97.5629249
Constancia del Rosario,2024,20.37,9.81,20.36,8.36,430.4,570.21,17.0216159,-97.5629249
Constancia del Rosario,2025,18.78,10.11,18.83,9.0,442.8,527.08,17.0216159,-97.5629249
Constancia del Rosario,2026,18.83,9.23,18.43,7.82,234.1,265.36,17.0216159,-97.5629249
Cosolapa,2020,29.11,21.48,34.14,24.58,985.8,547.06,18.3606433,-96.405659
Cosolapa,2021,28.97,21.55,34.1,24.85,819.2,543.62,18.3606433,-96.405659
Cosolapa,2022,29.26,20.91,34.41,23.73,1139.7,556.02,18.3606433,-96.405659
Cosolapa,2023,30.36,22.06,36.1,25.49,701.7,586.11,18.3606433,-96.405659
Cosolapa,2024,30.65,21.9,36.24,25.2,877.0,582.55,18.3606433,-96.405659
Cosolapa,2025,29.94,21.2,34.96,24.21,1143.6,573.48,18.3606433,-96.405659
Cosolapa,2026,29.82,20.48,33.99,23.37,437.9,283.85,18.3606433,-96.405659
Cosoltepec,2020,24.39,12.01,24.02,11.63,176.6,620.55,18.0831117,-97.4726419
Cosoltepec,2021,23.95,11.56,23.67,11.05,339.1,614.66,18.0831117,-97.4726419
Cosoltepec,2022,24.67,11.55,23.99,10.97,286.5,648.46,18.0831117,-97.4726419
Cosoltepec,2023,26.22,12.41,25.8,12.21,163.9,681.2,18.0831117,-97.4726419
Cosoltepec,2024,26.48,12.46,26.07,12.11,256.7,695.07,18.0831117,-97.4726419
Cosoltepec,2025,25.2,11.64,25.1,11.22,246.0,648.86,18.0831117,-97.4726419
Cosoltepec,2026,25.07,10.8,24.75,10.11,253.2,324.85,18.0831117,-97.4726419
Cuilápam de Guerrero,2020,27.08,13.64,27.31,13.8,273.8,644.6,16.5945605,-96.4650128
Cuilápam de Guerrero,2021,26.58,13.35,26.8,13.58,504.6,632.28,16.5945605,-96.4650128
Cuilápam de Guerrero,2022,27.15,13.13,27.16,13.16,261.0,660.84,16.5945605,-96.4650128
Cuilápam de Guerrero,2023,28.67,14.42,28.72,14.91,172.9,690.17,16.5945605,-96.4650128
Cuilápam de Guerrero,2024,28.34,14.41,28.68,14.87,315.4,684.95,16.5945605,-96.4650128
Cuilápam de Guerrero,2025,27.26,13.61,27.73,13.96,302.4,655.11,16.5945605,-96.4650128
Cuilápam de Guerrero,2026,27.44,12.91,27.13,13.02,214.2,341.17,16.5945605,-96.4650128
Cuyamecalco Villa de Zaragoza,2020,14.91,6.93,15.19,5.35,1206.3,446.12,17.5754299,-96.4952955
Cuyamecalco Villa de Zaragoza,2021,14.62,6.87,15.04,5.36,1202.9,441.47,17.5754299,-96.4952955
Cuyamecalco Villa de Zaragoza,2022,14.7,6.73,14.9,5.07,1046.1,457.42,17.5754299,-96.4952955
Cuyamecalco Villa de Zaragoza,2023,15.55,7.5,16.17,6.07,870.1,479.21,17.5754299,-96.4952955
Cuyamecalco Villa de Zaragoza,2024,16.81,7.93,17.25,6.52,751.1,503.37,17.5754299,-96.4952955
Cuyamecalco Villa de Zaragoza,2025,15.9,7.3,16.02,5.86,1066.3,477.82,17.5754299,-96.4952955
Cuyamecalco Villa de Zaragoza,2026,15.55,6.08,15.46,4.34,523.2,243.46,17.5754299,-96.4952955
El Barrio de la Soledad,2020,32.37,23.78,34.53,25.76,219.1,797.91,16.4814166,-95.0643884
El Barrio de la Soledad,2021,31.64,23.44,34.03,25.64,643.9,744.09,16.4814166,-95.0643884
El Barrio de la Soledad,2022,31.65,23.38,34.03,25.36,469.2,764.17,16.4814166,-95.0643884
El Barrio de la Soledad,2023,33.49,24.32,35.98,26.85,322.0,822.26,16.4814166,-95.0643884
El Barrio de la Soledad,2024,32.59,23.78,35.32,26.44,802.4,765.9,16.4814166,-95.0643884
El Barrio de la Soledad,2025,32.71,24.14,34.56,25.78,498.0,847.26,16.4814166,-95.0643884
El Barrio de la Soledad,2026,32.78,23.36,33.51,24.38,246.1,449.01,16.4814166,-95.0643884
El Espinal,2020,31.53,24.26,33.54,25.98,191.9,820.75,16.2908555,-95.023421
El Espinal,2021,30.89,23.97,33.07,25.88,686.9,766.03,16.2908555,-95.023421
El Espinal,2022,31.06,23.88,33.21,25.67,434.1,785.56,16.2908555,-95.023421
El Espinal,2023,32.68,24.91,35.02,27.2,266.3,847.24,16.2908555,-95.023421
El Espinal,2024,31.47,24.32,34.17,26.72,834.1,775.65,16.2908555,-95.023421
El Espinal,2025,31.83,24.5,33.74,25.87,509.6,848.84,16.2908555,-95.023421
El Espinal,2026,31.77,23.8,32.69,24.64,244.8,447.41,16.2908555,-95.023421
Eloxochitlán de Flores Magón,2020,28.05,21.79,32.45,24.79,970.2,523.95,18.1036771,-96.5233927
Eloxochitlán de Flores Magón,2021,27.71,21.66,32.4,24.78,1036.2,517.25,18.1036771,-96.5233927
Eloxochitlán de Flores Magón,2022,28.05,21.19,32.5,23.89,949.9,531.88,18.1036771,-96.5233927
Eloxochitlán de Flores Magón,2023,29.3,22.19,34.34,25.44,685.0,558.46,18.1036771,-96.5233927
Eloxochitlán de Flores Magón,2024,29.49,22.09,34.61,25.31,734.2,559.31,18.1036771,-96.5233927
Eloxochitlán de Flores Magón,2025,29.43,21.04,33.89,23.8,995.3,559.59,18.1036771,-96.5233927
Eloxochitlán de Flores Magón,2026,28.74,20.01,32.79,22.4,422.4,270.7,18.1036771,-96.5233927
