fecha,anio,municipio,latitud,longitud,temp_max,temp_min,temp_app_max,temp_app_min,lluvia_acumulada,evapotranspiracion
2026-04-20,2026,San Juan Mixtepec,16.1639142,-96.175812,20.5,10.9,21.6,8.4,2.8,3.82
2026-04-21,2026,San Juan Mixtepec,17.1820614,-97.4953209,21.6,10.6,22.9,10.0,1.7,4.12
2026-04-21,2026,San Juan Mixtepec,16.1639142,-96.175812,19.8,10.0,20.7,8.5,1.5,4.01
2026-04-22,2026,San Juan Mixtepec,17.1820614,-97.4953209,21.3,11.6,22.1,11.5,7.1,3.15
2026-04-22,2026,San Juan Mixtepec,16.1639142,-96.175812,19.4,9.5,21.2,8.5,3.8,3.84
2026-04-23,2026,San Juan Mixtepec,17.1820614,-97.4953209,22.2,10.3,22.5,9.6,4.3,4.44
2026-04-23,2026,San Juan Mixtepec,16.1639142,-96.175812,18.8,10.2,20.4,9.5,7.9,3.44
2026-04-24,2026,San Juan Mixtepec,17.1820614,-97.4953209,21.9,9.6,23.9,8.9,3.1,4.2
2026-04-24,2026,San Juan Mixtepec,16.1639142,-96.175812,19.8,10.9,20.8,10.0,17.1,3.63
2026-04-25,2026,San Juan Mixtepec,17.1820614,-97.4953209,24.5,10.3,26.0,9.7,2.5,4.56
2026-04-25,2026,San Juan Mixtepec,16.1639142,-96.175812,20.3,12.2,21.3,11.5,7.4,3.86
2026-04-26,2026,San Juan Mixtepec,17.1820614,-97.4953209,25.4,11.5,25.5,10.4,0.2,5.02
2026-04-26,2026,San Juan Mixtepec,16.1639142,-96.175812,21.5,12.2,23.4,11.3,3.5,4.4
2026-04-27,2026,San Juan Mixtepec,17.1820614,-97.4953209,27.0,12.1,25.8,11.3,0.0,5.71
2026-04-27,2026,San Juan Mixtepec,16.1639142,-96.175812,23.1,12.5,24.0,10.2,0.7,4.93
2026-04-28,2026,San Juan Mixtepec,17.1820614,-97.4953209,26.0,10.8,24.6,9.8,0.0,6.06
2026-04-28,2026,San Juan Mixtepec,16.1639142,-96.175812,23.0,11.0,23.8,9.1,0.2,4.96
2026-04-29,2026,San Juan Mixtepec,17.1820614,-97.4953209,28.0,10.1,25.9,8.1,0.0,6.51
2026-04-29,2026,San Juan Mixtepec,16.1639142,-96.175812,23.6,10.5,24.7,8.5,0.0,5.07
